iter	Logloss
0	0.5993214132
1	0.5444604422
2	0.5077667904
3	0.4870230391
4	0.4713968159
5	0.4611391673
6	0.4546050099
7	0.4500868672
8	0.4458676656
9	0.4427102021
10	0.4402058789
11	0.4380524233
12	0.4364574048
13	0.4351713798
14	0.433819395
15	0.4325913956
16	0.4314109347
17	0.4306493232
18	0.4298065883
19	0.4290280226
20	0.4283115573
21	0.4277573847
22	0.4272265392
23	0.426945878
24	0.4265343483
25	0.4262377252
26	0.4259292687
27	0.4254173326
28	0.4248528449
29	0.4241815539
30	0.4235261162
31	0.4231928322
32	0.4227448842
33	0.4221881583
34	0.4215163846
35	0.4211767078
36	0.4206972425
37	0.4205269702
38	0.4200242773
39	0.4196248126
40	0.4192279716
41	0.4185684197
42	0.4180937654
43	0.4177766971
44	0.4173050302
45	0.4168443505
46	0.4159894488
47	0.4155019846
48	0.4151485611
49	0.414987312
50	0.414943105
51	0.4146249021
52	0.414435448
53	0.4139941087
54	0.4136751386
55	0.4133441542
56	0.4129105485
57	0.4125627359
58	0.4120895619
59	0.4117614417
60	0.4113613016
61	0.4108805047
62	0.4103379419
63	0.4098449863
64	0.4094013636
65	0.4089615695
66	0.4086337598
67	0.4082089728
68	0.4079042546
69	0.407614241
70	0.4071550527
71	0.4070055432
72	0.4069843522
73	0.4064244218
74	0.4062127435
75	0.4058691289
76	0.4056451648
77	0.4051899614
78	0.4047952258
79	0.4045397971
80	0.4044324036
81	0.4041606863
82	0.4038289944
83	0.4035363554
84	0.4032312448
85	0.4029468903
86	0.4026189459
87	0.4020423506
88	0.401648114
89	0.4013719903
90	0.4012371345
91	0.4007931634
92	0.4002212837
93	0.3996105821
94	0.3993282917
95	0.3990301676
96	0.3990096083
97	0.3987868198
98	0.3983703571
99	0.398114621
