iter	Passed	Remaining
0	24	2384
1	35	1734
2	42	1386
3	51	1234
4	57	1090
5	63	994
6	67	903
7	73	846
8	77	787
9	82	738
10	87	705
11	91	674
12	97	654
13	103	634
14	109	620
15	114	599
16	122	596
17	127	579
18	131	560
19	138	553
20	144	541
21	148	527
22	156	524
23	161	510
24	167	502
25	173	493
26	177	480
27	184	474
28	202	496
29	208	485
30	215	478
31	220	467
32	225	458
33	230	448
34	235	436
35	239	425
36	247	422
37	252	412
38	257	403
39	277	416
40	282	406
41	294	406
42	299	396
43	304	387
44	311	380
45	315	370
46	321	362
47	328	356
48	333	347
49	341	341
50	345	332
51	351	324
52	360	319
53	367	312
54	376	307
55	380	299
56	387	292
57	395	286
58	400	278
59	408	272
60	413	264
61	421	258
62	426	250
63	433	243
64	442	238
65	450	232
66	457	225
67	461	216
68	467	210
69	473	202
70	477	195
71	484	188
72	488	180
73	492	173
74	500	166
75	504	159
76	508	152
77	515	145
78	519	137
79	524	131
80	531	124
81	535	117
82	539	110
83	546	104
84	550	97
85	554	90
86	561	83
87	565	77
88	569	70
89	575	63
90	580	57
91	584	50
92	588	44
93	596	38
94	601	31
95	607	25
96	613	18
97	620	12
98	627	6
99	631	0
